	COURSE_CODE	EXAM_HALL	INDEX_RANGE	NO.	PAPER_TITLE	_id	exam_date	exam_time
0	UGRC223	N' BLOCK / K. FOLSON BLDG.		105	INTRO. TO AFRICAN STUDIES/ AFRICA & THE DIASPORA	5bbd4420220486cff8858c87	25/11/2017	07:30:00
1	UGRC229	N' BLOCK / K. FOLSON BLDG.		110	INTRO. TO AFRICAN STUDIES/ CULTURE & DEVELOPMENT	5bbd4420220486cff8858c88	25/11/2017	07:30:00
2	UGRC230	N' BLOCK / K. FOLSON BLDG.		225	INTRO. TO AFRICAN STUDIES/ GENDER AND CILTURE	5bbd4420220486cff8858c89	25/11/2017	07:30:00
3	UGRC221	LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING		10	INTRO. TO AFRICAN STUDIES/ AFRICAN ART, ITS PHIL & CRI.	5bbd4420220486cff8858c8a	25/11/2017	07:30:00
4	UGRC232	LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING		88	INTRO. TO AFRICAN STUDIES/ ISSUES IN AFRICA'S POPULATION	5bbd4420220486cff8858c8b	25/11/2017	07:30:00
5	UGRC233	LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING		24	INTRO. TO AFRICAN STUDI/ OUR AFRICAN HERITAGE OAHTL	5bbd4420220486cff8858c8c	25/11/2017	07:30:00
6	UGRC234	LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING		20	INTRO. TO AFRICAN STUDIES/ PHILOSOPHY IN AFRICAN CULTURES	5bbd4420220486cff8858c8d	25/11/2017	07:30:00
7	CSIT301	NEW N' BLOCK 		129	MOBILE DEVELOPMENT	5bbd4420220486cff8858c8e	25/11/2017	11:30:00
8	KISW301	NEW N' BLOCK 		23	 INTERMEDIATE KISWAHILI USAGE I	5bbd4420220486cff8858c8f	25/11/2017	11:30:00
9	PESS301	NEW N' BLOCK 		11	SPORT POLICY AND GOVERNANCE	5bbd4420220486cff8858c90	25/11/2017	11:30:00
10	ABCS303	NEW N' BLOCK 		45	COMPARATIVE ANIMAL PHYSIOLOGY	5bbd4420220486cff8858c91	25/11/2017	11:30:00
11	ACTU303	NEW N' BLOCK 		38	INTRODUCTION TO FINANCIAL MATHEMATICS	5bbd4420220486cff8858c92	25/11/2017	11:30:00
12	PAHS303	NEW N' BLOCK 		25	HEALTH SERVICES MANAGEMENT	5bbd4420220486cff8858c93	25/11/2017	11:30:00
13	PHIL310	NEW N' BLOCK 		15	AFRICAN PHILOSOPHY	5bbd4420220486cff8858c94	25/11/2017	11:30:00
14	CSCD313	NEW N' BLOCK 		77	DATABASE MANAGEMENT SYSTEMS	5bbd4420220486cff8858c95	25/11/2017	11:30:00
15	CHIN331	NEW N' BLOCK 		3	CHINESE LANGUAGE PROFICIENCY 1	5bbd4420220486cff8858c96	25/11/2017	11:30:00
16	THEA369	NEW N' BLOCK 		11	INTRODUCTION TO COSTUME DESIGN	5bbd4420220486cff8858c97	25/11/2017	11:30:00
17	DMLA401	NEW N' BLOCK 		59	RESEARCH METHODS	5bbd4420220486cff8858c98	25/11/2017	11:30:00
18	EASC417	NEW N' BLOCK 		17	MINERALOGY	5bbd4420220486cff8858c99	25/11/2017	11:30:00
19	GHLS441	NEW N' BLOCK 		1	WRITTEN LITERATURE OF A GHANAIAN LANGUAGE	5bbd4420220486cff8858c9a	25/11/2017	11:30:00
20	MATH440	NEW N' BLOCK 		29	ABSTRACT ALGEBRA II	5bbd4420220486cff8858c9b	25/11/2017	11:30:00
21	UGRC210	NEW N' BLOCK		740	ACADEMIC WRITING II                                                                                      	5bbd4420220486cff8858c9c	25/11/2017	15:30:00
22	UGRC210	 N' BLOCK / K. FOLSON BLDG.		360	ACADEMIC WRITING II                                                                                       	5bbd4420220486cff8858c9d	25/11/2017	15:30:00
23	HIST311	 N' BLOCK / K. FOLSON BLDG.		19	HISTORY OF GHANA UP TO 1800	5bbd4420220486cff8858c9e	25/11/2017	15:30:00
24	SREL477	 N' BLOCK / K. FOLSON BLDG.		8	COMPARATIVE ETHICS	5bbd4420220486cff8858c9f	25/11/2017	15:30:00
25	GEOG479	 N' BLOCK / K. FOLSON BLDG.		6	ENVIRONMENTAL ECOLOGY	5bbd4420220486cff8858ca0	25/11/2017	15:30:00
26	UGRC210	GCB BLDG		500	ACADEMIC WRITING II                                                                                       	5bbd4420220486cff8858ca1	25/11/2017	15:30:00
27	UGRC210	LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING		280	ACADEMIC WRITING II                                                                                      	5bbd4420220486cff8858ca2	25/11/2017	15:30:00
28	UGRC210	CENTRAL CAFETERIA		480	ACADEMIC WRITING II                                                                                      	5bbd4420220486cff8858ca3	25/11/2017	15:30:00
29	UGRC210	COLLEGE OF AGRIC LT3	(COLLEGE OF HEALTH SCIENCES)	154	ACADEMIC WRITING II                                                                                      	5bbd4420220486cff8858ca4	25/11/2017	15:30:00
30	UGRC210	TOP OF BOOKSHOP (E9 & E10)		44	ACADEMIC WRITING II                                                                                      	5bbd4420220486cff8858ca5	25/11/2017	15:30:00
31	PAHS411	TOP OF BOOKSHOP (E9 & E10)		43	ENVIRONMENTAL MANAGEMENT	5bbd4420220486cff8858ca6	25/11/2017	15:30:00
